symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
PARADEEP,INE088F01024,2025-10-27,NSE,EQ,EQ,buy,false,18.000000,173.190002,400315412,1200000002707389,2025-10-27T09:20:06
SHAKTIPUMP,INE908D01010,2025-10-27,NSE,EQ,EQ,buy,false,1.000000,814.450012,600470858,1300000003147020,2025-10-27T09:20:06
EPL,INE255A01020,2025-10-27,NSE,EQ,EQ,buy,false,9.000000,206.149994,200488392,1100000003495371,2025-10-27T09:20:06
TIMETECHNO,INE508G01029,2025-10-27,NSE,EQ,EQ,buy,false,9.000000,213.610001,600470866,1300000003147086,2025-10-27T09:20:06
LTFOODS,INE818H01020,2025-10-27,NSE,EQ,EQ,buy,false,3.000000,423.799988,400315411,1200000002707384,2025-10-27T09:20:06
GOLDCASE,,2025-11-10,NSE,EQ,EQ,buy,false,385.000000,19.170000,201269436,1100000010672081,2025-11-10T09:36:28
SILVERCASE,,2025-11-10,NSE,EQ,EQ,buy,false,329.000000,15.200000,601256089,1300000010032807,2025-11-10T09:36:28
LTFOODS,INE818H01020,2025-11-27,NSE,EQ,EQ,buy,false,1.000000,406.600006,400466835,1200000004548306,2025-11-27T09:26:36
TIMETECHNO,INE508G01029,2025-11-27,NSE,EQ,EQ,buy,false,5.000000,201.809998,600603730,1300000004934025,2025-11-27T09:26:36
SHAKTIPUMP,INE908D01010,2025-11-27,NSE,EQ,EQ,buy,false,5.000000,689.950012,600603732,1300000004934036,2025-11-27T09:26:36
SHARDACROP,INE221J01015,2025-11-27,NSE,EQ,EQ,buy,false,2.000000,830.650024,600603729,1300000004934012,2025-11-27T09:26:36
DEEPAKFERT,INE501A01019,2025-11-27,NSE,EQ,EQ,buy,false,1.000000,1402.000000,200670675,1100000005451558,2025-11-27T09:26:36
PARADEEP,INE088F01024,2025-11-27,NSE,EQ,EQ,buy,false,11.000000,157.500000,400466834,1200000004548302,2025-11-27T09:26:36
CEATLTD,INE482A01020,2025-12-03,NSE,EQ,EQ,sell,false,5.000000,3946.300049,765977,1000000007345514,2025-12-03T09:38:54
SHAKTIPUMP,INE908D01010,2025-12-03,NSE,EQ,EQ,sell,false,1.000000,633.250000,601041522,1300000008800928,2025-12-03T09:38:54
SHAKTIPUMP,INE908D01010,2025-12-03,NSE,EQ,EQ,sell,false,19.000000,633.250000,601041523,1300000008800928,2025-12-03T09:38:54
SHAKTIPUMP,INE908D01010,2025-12-03,NSE,EQ,EQ,sell,false,2.000000,633.200012,601041524,1300000008800928,2025-12-03T09:38:54
SHAKTIPUMP,INE908D01010,2025-12-03,NSE,EQ,EQ,sell,false,2.000000,633.200012,601041525,1300000008800928,2025-12-03T09:38:54
SHAKTIPUMP,INE908D01010,2025-12-03,NSE,EQ,EQ,sell,false,2.000000,633.200012,601041526,1300000008800928,2025-12-03T09:38:54
SHAKTIPUMP,INE908D01010,2025-12-03,NSE,EQ,EQ,sell,false,4.000000,633.150024,601041527,1300000008800928,2025-12-03T09:38:54
NATIONALUM,INE139A01034,2025-12-03,NSE,EQ,EQ,sell,false,12.000000,265.200012,400800322,1200000008079951,2025-12-03T09:38:54
PARADEEP,INE088F01024,2025-12-03,NSE,EQ,EQ,sell,false,4.000000,154.800003,400800320,1200000008079896,2025-12-03T09:38:54
PARADEEP,INE088F01024,2025-12-03,NSE,EQ,EQ,sell,false,50.000000,154.839996,400800319,1200000008079896,2025-12-03T09:38:54
PARADEEP,INE088F01024,2025-12-03,NSE,EQ,EQ,sell,false,80.000000,154.800003,400800321,1200000008079896,2025-12-03T09:38:54
EPL,INE255A01020,2025-12-03,NSE,EQ,EQ,sell,false,104.000000,202.399994,201107855,1100000009147320,2025-12-03T09:38:54
LUPIN,INE326A01037,2025-12-03,NSE,EQ,EQ,buy,false,12.000000,2091.300049,400801153,1200000008089462,2025-12-03T09:38:56
TIMETECHNO,INE508G01029,2025-12-03,NSE,EQ,EQ,buy,false,16.000000,192.830002,601042582,1300000008812535,2025-12-03T09:38:56
KPIL,INE220B01022,2025-12-03,NSE,EQ,EQ,buy,false,1.000000,1191.500000,400801157,1200000008089493,2025-12-03T09:38:56
KPIL,INE220B01022,2025-12-03,NSE,EQ,EQ,buy,false,3.000000,1191.300049,400801156,1200000008089493,2025-12-03T09:38:56
KPIL,INE220B01022,2025-12-03,NSE,EQ,EQ,buy,false,7.000000,1191.800049,400801158,1200000008089493,2025-12-03T09:38:56
KPIL,INE220B01022,2025-12-03,NSE,EQ,EQ,buy,false,9.000000,1191.900024,400801159,1200000008089493,2025-12-03T09:38:56
MPHASIS,INE356A01018,2025-12-03,NSE,EQ,EQ,buy,false,1.000000,2838.699951,400801161,1200000008089575,2025-12-03T09:38:56
AVANTIFEED,INE871C01038,2025-12-03,NSE,EQ,EQ,buy,false,29.000000,836.849976,766945,1000000007354576,2025-12-03T09:38:56
